fonte,licensa,licensa_raw,license_status,url,bairro,lat,lng,quartos,host_id,airbnb_date,official_date
airbnb,24726,24726/AL,licença reutilizada 10,https://www.airbnb.com/rooms/908667505006533806,Misericrdia,38.70979155165257,-9.142470812590973,1,15900664,2026-06-26,2016-02-18
airbnb,24726,24726/AL,licença reutilizada 10,https://www.airbnb.com/rooms/908667647487972472,Misericrdia,38.71063,-9.14432,1,15900664,2026-06-25,2016-02-18
airbnb,24726,24726/AL,licença reutilizada 10,https://www.airbnb.com/rooms/908668124632291329,Misericrdia,38.71004,-9.14289,1,15900664,2026-06-25,2016-02-18
airbnb,65314,65314/AL,sem licença,https://www.airbnb.com/rooms/909084640228414203,Santa Maria Maior,38.7179065,-9.1341438,1,5588401,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/909110653515095153,Parque das Naes,38.79086328435488,-9.098450616002083,1,160312508,2026-06-23,
airbnb,80092,80092/AL,,https://www.airbnb.com/rooms/909123616193647981,So Vicente,38.71404711775722,-9.128517097918106,1,225884925,2026-06-25,2018-08-07
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/900532028072120023,Santa Maria Maior,38.71192298280849,-9.142311942455601,1,211514848,2026-06-25,
airbnb,80087,80087/AL,,https://www.airbnb.com/rooms/909133140878056240,So Vicente,38.713943277437274,-9.128367519264946,1,225884925,2026-06-25,2018-08-07
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/909136236551078455,Lumiar,38.775626726458256,-9.162280486445752,,51540109,2026-06-25,
airbnb,80222,80222/AL,,https://www.airbnb.com/rooms/909145944671776406,So Vicente,38.71419006410003,-9.128273394166115,2,225884925,2026-06-25,2018-08-08
airbnb,267876,267876/AL,sem licença,https://www.airbnb.com/rooms/909316021176410260,Misericrdia,38.710807795507556,-9.145839251360785,1,518868109,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/909337184855615445,So Vicente,38.7179425,-9.1300628,1,148891205,2026-06-26,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/909350205763726824,Alcntara,38.70424,-9.18103,2,419162816,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/909352453374076352,Arroios,38.7249387,-9.1314446,3,19813294,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/900637771574890595,Santa Maria Maior,38.71331,-9.14161,1,211514848,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/900752522561340821,So Vicente,38.7171964,-9.1240163,1,8491688,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/909355669326421276,Areeiro,38.74117,-9.13597,3,419162816,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/909372643158320710,Olivais,38.76596674294063,-9.122815693359662,,130866055,2026-06-25,
airbnb,104888,104888/AL,,https://www.airbnb.com/rooms/909911650202983319,Arroios,38.734238491047,-9.142953430688479,2,518868109,2026-06-25,2019-11-16
airbnb,59362,59362/AL,licença invalida (distancia 8.417672847903015);licença reutilizada 2,https://www.airbnb.com/rooms/910007296592589266,Parque das Naes,38.7799466,-9.0958012,3,34273106,2026-06-23,2017-11-08
airbnb,82261,82261/AL,,https://www.airbnb.com/rooms/910073205941163764,Misericrdia,38.70995576444873,-9.152592054062037,2,490437560,2026-06-25,2018-09-07
airbnb,72678,72678/AL,sem licença,https://www.airbnb.com/rooms/910094497135401617,Santo Antnio,38.72538835876647,-9.146236043795968,,7956592,2026-06-25,
airbnb,48023,48023/AL,licença reutilizada 2,https://www.airbnb.com/rooms/910258063628503689,Santa Maria Maior,38.7154571,-9.1338123,3,38143780,2026-06-25,2017-06-12
airbnb,29371,29371/AL,sem licença,https://www.airbnb.com/rooms/910337780841602854,So Domingos de Benfica,38.74743829371845,-9.177046078793131,3,105229019,2026-06-23,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/911393324258578428,So Vicente,38.72282641181989,-9.122719039647167,2,511112910,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/911438101113932847,Santa Maria Maior,38.7191,-9.13582,2,416268166,2026-06-26,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/911563974780019189,Santo Antnio,38.72111,-9.14333,3,2737068,2026-06-25,
airbnb,34307,34307/AL,sem licença,https://www.airbnb.com/rooms/911682142520111553,Misericrdia,38.713458800715394,-9.144374325060568,1,17125483,2026-06-25,
airbnb,48092,48092/AL,licença reutilizada 3,https://www.airbnb.com/rooms/911683651987398340,Santa Maria Maior,38.7159968,-9.1329572,1,518618225,2026-06-25,2017-06-19
airbnb,81991,81991/AL,,https://www.airbnb.com/rooms/911694766703686311,So Vicente,38.71838,-9.13312,2,76223539,2026-06-26,2018-09-03
airbnb,76552,76552/AL,sem licença,https://www.airbnb.com/rooms/912028319641592958,So Domingos de Benfica,38.75176,-9.1674,1,187127000,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/912046554127303203,Campo de Ourique,38.71943,-9.16416,,519539634,2026-07-02,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/912054724604986114,Arroios,38.7214,-9.13522,1,202082757,2026-06-26,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/912200809319960857,Belm,38.69338108362106,-9.211419067155838,2,157259531,2026-06-25,
airbnb,123432,123432/AL,,https://www.airbnb.com/rooms/912442887099129077,Ajuda,38.70487,-9.19958,2,84627990,2026-06-23,2022-02-22
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/901608598056523159,Olivais,38.76581,-9.11177,1,33722053,2026-06-23,
airbnb,123436,123436/AL,,https://www.airbnb.com/rooms/912446908767761828,Ajuda,38.70320065902149,-9.20069273473423,2,84627990,2026-06-23,2022-02-22
airbnb,97226,97226/AL,licença reutilizada 5,https://www.airbnb.com/rooms/912777697701158578,So Vicente,38.71954,-9.12279,1,34827624,2026-06-25,2019-05-31
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/912830384257211021,Campolide,38.73794,-9.16234,2,184937650,2026-07-02,
airbnb,82522,82522/AL,,https://www.airbnb.com/rooms/912849347555154615,Santa Maria Maior,38.71125,-9.13398,3,7854849,2026-06-25,2018-09-11
airbnb,78936,78936/AL,sem licença,https://www.airbnb.com/rooms/912883619309846885,Santo Antnio,38.72471,-9.14414,4,195120219,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/912971042819985958,Santa Maria Maior,38.71268033807902,-9.141883292065422,3,70312059,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/901630895472369749,Olivais,38.76579684336862,-9.112556959995548,1,33722053,2026-06-23,
airbnb,143620,143620/AL,licença reutilizada 6,https://www.airbnb.com/rooms/912998279049221198,Olivais,38.77787093131909,-9.118741640050585,,74792458,2026-06-23,2023-04-21
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/913020201051565960,Parque das Naes,38.79107130000001,-9.0984544,2,510802292,2026-06-23,
airbnb,22781,22781/AL,,https://www.airbnb.com/rooms/913174282296707456,So Vicente,38.7215837,-9.1247945,1,519865919,2026-06-25,2015-12-16
airbnb,122800,122800/AL,licença reutilizada 6,https://www.airbnb.com/rooms/913511985704383190,Parque das Naes,38.7622755,-9.1013714,,129000409,2026-06-25,2022-02-02
airbnb,122800,122800/AL,licença reutilizada 6,https://www.airbnb.com/rooms/913533738283608069,Parque das Naes,38.7622755,-9.1013714,,129000409,2026-06-23,2022-02-02
airbnb,54745,54745/AL,sem licença,https://www.airbnb.com/rooms/913570760967249249,Arroios,38.734038045553,-9.14291755817384,1,259961940,2026-06-25,
